location,median_chloride_mgl,median_colour,median_p_ugl,median_ph_field,median_tn_ugl,median_toc_mgl,median_total_cyano,sd_chloride_mgl,sd_colour,sd_p_ugl,sd_ph_field,sd_tn_ugl,sd_toc_mgl,sd_total_cyano
Cunard Pond,68.8,6,8.6,7.2,248.7,2.9,27203.5,28.3,7.2,22.6,0.2,82.6,0.5,142920.6
INP,14.9,53.3,32.8,7.3,359.1,8.4,250958.6,3.7,31.7,226.2,0.5,107.4,2.3,1002322.5
Kearney Lake,64.7,26.3,5.9,7.2,236.2,3.5,6660.2,44.7,17.6,42.7,0.3,49.7,1.5,34884.6
Lake Banook 1,233.6,4.3,7.9,7.6,179.9,2.4,27890.1,210.8,6.8,31.1,0.5,74.9,0.5,74075.8
Lake Banook 2,224.1,5,7.8,7.5,171.9,2.4,19200.8,206.4,8.2,23.5,0.3,73.5,0.5,111391.4
Lake Charles 1,81.2,10.7,7.5,7.4,309.3,3.3,39759.2,33.7,9.7,12.4,0.3,72.5,0.7,441708.1
Lake Charles 2,79.5,11.3,6.8,7.6,296.6,3.3,41819.3,40.5,13,28.7,0.3,72.8,1.1,314710.9
Lake Fletcher,38.3,16,8.2,7.3,192.2,3.9,29740,23.2,14.8,22.9,0.2,45.4,1.3,71299.9
Penhorn Lake,151.3,8,10.5,7.5,185.1,3.3,31084.8,81.6,10.7,10.7,0.3,48.6,0.5,74416
Shubenacadie Canal,90.9,13,12.8,7.3,274.9,3.4,25808.1,40.4,6.3,8.2,0.3,65.3,0.6,34151.7
Tower Road Reservoir,2.2,12,11.5,7.3,133.2,3.1,17287.8,0.7,10.2,81.3,0.4,261.5,1.5,187459.2
Turtle Creek Reservoir,2.3,20.4,7.8,6.9,133.7,3.8,5360.6,0.7,20.3,186.4,0.2,184.2,1.5,11813.6
